x-axis,1,2,3
second,Volt,Volt,Volt
+2.78000E-03,+1.81250000E+00,+2.58124995E+00,+2.61875010E+00
+2.79000E-03,+1.78125000E+00,+2.54999995E+00,+2.46250010E+00
+2.80000E-03,+1.75000000E+00,+2.54999995E+00,+2.33750010E+00
+2.81000E-03,+1.68750000E+00,+2.42499995E+00,+2.15000010E+00
+2.82000E-03,+1.68750000E+00,+2.33124995E+00,+2.02500010E+00
+2.83000E-03,+1.62500000E+00,+2.23749995E+00,+1.90000010E+00
+2.84000E-03,+1.62500000E+00,+2.14374995E+00,+1.74375010E+00
+2.85000E-03,+1.56250000E+00,+2.01874995E+00,+1.65000010E+00
+2.86000E-03,+1.56250000E+00,+1.86249995E+00,+1.58750010E+00
+2.87000E-03,+1.53125000E+00,+1.79999995E+00,+1.43125010E+00
+2.88000E-03,+1.56250000E+00,+1.67499995E+00,+1.40000010E+00
+2.89000E-03,+1.46875000E+00,+1.61249995E+00,+1.36875010E+00
+2.90000E-03,+1.46875000E+00,+1.54999995E+00,+1.33750010E+00
+2.91000E-03,+1.50000000E+00,+1.45624995E+00,+1.33750010E+00
+2.92000E-03,+1.46875000E+00,+1.42499995E+00,+1.30625010E+00
+2.93000E-03,+1.53125000E+00,+1.36249995E+00,+1.30625010E+00
+2.94000E-03,+1.53125000E+00,+1.33124995E+00,+1.30625010E+00
+2.95000E-03,+1.53125000E+00,+1.36249995E+00,+1.33750010E+00
+2.96000E-03,+1.56250000E+00,+1.33124995E+00,+1.36875010E+00
+2.97000E-03,+1.56250000E+00,+1.36249995E+00,+1.40000010E+00
+2.98000E-03,+1.56250000E+00,+1.39374995E+00,+1.46250010E+00
+2.99000E-03,+1.65625000E+00,+1.39374995E+00,+1.52500010E+00
+3.00000E-03,+1.68750000E+00,+1.45624995E+00,+1.55625010E+00
+3.01000E-03,+1.71875000E+00,+1.51874995E+00,+1.61875010E+00
+3.02000E-03,+1.78125000E+00,+1.51874995E+00,+1.65000010E+00
+3.03000E-03,+1.81250000E+00,+1.58124995E+00,+1.71250010E+00
+3.04000E-03,+1.90625000E+00,+1.58124995E+00,+1.80625010E+00
+3.05000E-03,+1.90625000E+00,+1.67499995E+00,+1.83750010E+00
+3.06000E-03,+2.00000000E+00,+1.76874995E+00,+1.90000010E+00
+3.07000E-03,+2.03125000E+00,+1.79999995E+00,+1.99375010E+00
+3.08000E-03,+2.12500000E+00,+1.83124995E+00,+2.02500010E+00
+3.09000E-03,+2.18750000E+00,+1.89374995E+00,+2.11875010E+00
+3.10000E-03,+2.25000000E+00,+1.95624995E+00,+2.18125010E+00
+3.11000E-03,+2.31250000E+00,+2.01874995E+00,+2.27500010E+00
+3.12000E-03,+2.43750000E+00,+2.08124995E+00,+2.33750010E+00
+3.13000E-03,+2.46875000E+00,+2.14374995E+00,+2.43125010E+00
+3.14000E-03,+2.50000000E+00,+2.26874995E+00,+2.46250010E+00
+3.15000E-03,+2.59375000E+00,+2.33124995E+00,+2.61875010E+00
+3.16000E-03,+2.71875000E+00,+2.36249995E+00,+2.65000010E+00
+3.17000E-03,+2.78125000E+00,+2.45624995E+00,+2.71250010E+00
+3.18000E-03,+2.90625000E+00,+2.54999995E+00,+2.80625010E+00
+3.19000E-03,+2.90625000E+00,+2.61249995E+00,+2.90000010E+00
+3.20000E-03,+3.00000000E+00,+2.67499995E+00,+2.96250010E+00
+3.21000E-03,+3.06250000E+00,+2.76874995E+00,+3.02500010E+00
+3.22000E-03,+3.06250000E+00,+2.89374995E+00,+3.05625010E+00
+3.23000E-03,+3.12500000E+00,+2.92499995E+00,+3.15000010E+00
+3.24000E-03,+3.15625000E+00,+2.98749995E+00,+3.24375010E+00
+3.25000E-03,+3.21875000E+00,+3.04999995E+00,+3.30625010E+00
+3.26000E-03,+3.28125000E+00,+3.11249995E+00,+3.30625010E+00
+3.27000E-03,+3.28125000E+00,+3.23749995E+00,+3.36875010E+00
+3.28000E-03,+3.31250000E+00,+3.26874995E+00,+3.43125010E+00
+3.29000E-03,+3.31250000E+00,+3.29999995E+00,+3.43125010E+00
+3.30000E-03,+3.31250000E+00,+3.29999995E+00,+3.43125010E+00
+3.31000E-03,+3.31250000E+00,+3.36249995E+00,+3.49375010E+00
+3.32000E-03,+3.31250000E+00,+3.39374995E+00,+3.46250010E+00
+3.33000E-03,+3.31250000E+00,+3.42499995E+00,+3.46250010E+00
+3.34000E-03,+3.28125000E+00,+3.42499995E+00,+3.49375010E+00
+3.35000E-03,+3.28125000E+00,+3.42499995E+00,+3.43125010E+00
+3.36000E-03,+3.25000000E+00,+3.42499995E+00,+3.43125010E+00
+3.37000E-03,+3.15625000E+00,+3.42499995E+00,+3.36875010E+00
+3.38000E-03,+3.12500000E+00,+3.39374995E+00,+3.33750010E+00
+3.39000E-03,+3.06250000E+00,+3.39374995E+00,+3.27500010E+00
+3.40000E-03,+3.00000000E+00,+3.33124995E+00,+3.21250010E+00
+3.41000E-03,+2.90625000E+00,+3.26874995E+00,+3.11875010E+00
+3.42000E-03,+2.81250000E+00,+3.23749995E+00,+3.08750010E+00
+3.43000E-03,+2.75000000E+00,+3.14374995E+00,+2.96250010E+00
+3.44000E-03,+2.68750000E+00,+3.14374995E+00,+2.86875010E+00
+3.45000E-03,+2.56250000E+00,+3.01874995E+00,+2.80625010E+00
+3.46000E-03,+2.50000000E+00,+2.92499995E+00,+2.74375010E+00
+3.47000E-03,+2.37500000E+00,+2.83124995E+00,+2.61875010E+00
+3.48000E-03,+2.31250000E+00,+2.76874995E+00,+2.43125010E+00
+3.49000E-03,+2.21875000E+00,+2.67499995E+00,+2.40000010E+00
+3.50000E-03,+2.12500000E+00,+2.58124995E+00,+2.27500010E+00
+3.51000E-03,+2.03125000E+00,+2.48749995E+00,+2.15000010E+00
+3.52000E-03,+1.93750000E+00,+2.36249995E+00,+2.05625010E+00
+3.53000E-03,+1.84375000E+00,+2.29999995E+00,+1.96250010E+00
+3.54000E-03,+1.81250000E+00,+2.20624995E+00,+1.86875010E+00
+3.55000E-03,+1.75000000E+00,+2.08124995E+00,+1.80625010E+00
+3.56000E-03,+1.65625000E+00,+1.98749995E+00,+1.71250010E+00
+3.57000E-03,+1.65625000E+00,+1.89374995E+00,+1.61875010E+00
+3.58000E-03,+1.59375000E+00,+1.83124995E+00,+1.58750010E+00
