x-axis,1,2,3
second,Volt,Volt,Volt
+6.4600E-03,+1.6250000E+00,+1.8312500E+00,+1.5250001E+00
+6.4700E-03,+1.6250000E+00,+1.7375000E+00,+1.4312501E+00
+6.4800E-03,+1.6875000E+00,+1.5812500E+00,+1.3687501E+00
+6.4900E-03,+1.6875000E+00,+1.5187500E+00,+1.3687501E+00
+6.5000E-03,+1.7812500E+00,+1.4562500E+00,+1.4000001E+00
+6.5100E-03,+1.7812500E+00,+1.4250000E+00,+1.4312501E+00
+6.5200E-03,+1.8437500E+00,+1.4250000E+00,+1.5250001E+00
+6.5300E-03,+1.9062500E+00,+1.4875000E+00,+1.5562501E+00
+6.5400E-03,+1.9375000E+00,+1.5500000E+00,+1.7125001E+00
+6.5500E-03,+2.0000000E+00,+1.6125000E+00,+1.8062501E+00
+6.5600E-03,+2.0937500E+00,+1.6750000E+00,+1.9312501E+00
+6.5700E-03,+2.1562500E+00,+1.8000000E+00,+2.0250001E+00
+6.5800E-03,+2.1875000E+00,+1.8937500E+00,+2.1500001E+00
+6.5900E-03,+2.2812500E+00,+2.0187500E+00,+2.2125001E+00
+6.6000E-03,+2.3125000E+00,+2.0812500E+00,+2.3375001E+00
+6.6100E-03,+2.4062500E+00,+2.1750000E+00,+2.4000001E+00
+6.6200E-03,+2.4375000E+00,+2.3000000E+00,+2.4625001E+00
+6.6300E-03,+2.5312500E+00,+2.3000000E+00,+2.5562501E+00
+6.6400E-03,+2.6250000E+00,+2.4250000E+00,+2.6187501E+00
+6.6500E-03,+2.6875000E+00,+2.4875000E+00,+2.6812501E+00
+6.6600E-03,+2.7187500E+00,+2.5812500E+00,+2.7750001E+00
+6.6700E-03,+2.8125000E+00,+2.6437500E+00,+2.8062501E+00
+6.6800E-03,+2.8437500E+00,+2.7375000E+00,+2.8375001E+00
+6.6900E-03,+2.9062500E+00,+2.8000000E+00,+2.9312501E+00
+6.7000E-03,+2.9687500E+00,+2.8312500E+00,+2.9625001E+00
+6.7100E-03,+3.0312500E+00,+2.8937500E+00,+3.0250001E+00
+6.7200E-03,+3.0625000E+00,+2.9562500E+00,+3.0562501E+00
+6.7300E-03,+3.1250000E+00,+2.9875000E+00,+3.1187501E+00
+6.7400E-03,+3.1875000E+00,+3.0500000E+00,+3.2125001E+00
+6.7500E-03,+3.2500000E+00,+3.1437500E+00,+3.2125001E+00
+6.7600E-03,+3.2500000E+00,+3.1750000E+00,+3.2750001E+00
+6.7700E-03,+3.2812500E+00,+3.2062500E+00,+3.3062501E+00
+6.7800E-03,+3.2812500E+00,+3.2687500E+00,+3.3375001E+00
+6.7900E-03,+3.3125000E+00,+3.3000000E+00,+3.3687501E+00
+6.8000E-03,+3.3437500E+00,+3.3000000E+00,+3.4000001E+00
+6.8100E-03,+3.3437500E+00,+3.3625000E+00,+3.4312501E+00
+6.8200E-03,+3.3125000E+00,+3.3625000E+00,+3.4312501E+00
+6.8300E-03,+3.3125000E+00,+3.3937500E+00,+3.4312501E+00
+6.8400E-03,+3.3125000E+00,+3.3937500E+00,+3.4625001E+00
+6.8500E-03,+3.2812500E+00,+3.3937500E+00,+3.4625001E+00
+6.8600E-03,+3.2812500E+00,+3.4250000E+00,+3.4000001E+00
+6.8700E-03,+3.2187500E+00,+3.4250000E+00,+3.3375001E+00
+6.8800E-03,+3.1875000E+00,+3.3625000E+00,+3.3375001E+00
+6.8900E-03,+3.1562500E+00,+3.3625000E+00,+3.2750001E+00
+6.9000E-03,+3.0937500E+00,+3.3000000E+00,+3.2437501E+00
+6.9100E-03,+3.0312500E+00,+3.3000000E+00,+3.2125001E+00
+6.9200E-03,+3.0000000E+00,+3.2687500E+00,+3.1500001E+00
+6.9300E-03,+2.9375000E+00,+3.2062500E+00,+3.0875001E+00
+6.9400E-03,+2.8125000E+00,+3.1437500E+00,+2.9625001E+00
+6.9500E-03,+2.7187500E+00,+3.0500000E+00,+2.9000001E+00
+6.9600E-03,+2.6562500E+00,+2.9875000E+00,+2.8375001E+00
+6.9700E-03,+2.5937500E+00,+2.9250000E+00,+2.7437501E+00
+6.9800E-03,+2.5000000E+00,+2.8312500E+00,+2.6500001E+00
+6.9900E-03,+2.4375000E+00,+2.7687500E+00,+2.5562501E+00
+7.0000E-03,+2.3125000E+00,+2.6750000E+00,+2.4625001E+00
+7.0100E-03,+2.2500000E+00,+2.5812500E+00,+2.3687501E+00
+7.0200E-03,+2.1875000E+00,+2.4875000E+00,+2.3062501E+00
+7.0300E-03,+2.0937500E+00,+2.4250000E+00,+2.1812501E+00
