x-axis,1,2,3
second,Volt,Volt,Volt
+14.64000E-03,+2.21875000E+00,+2.38124990E+00,+2.15000010E+00
+14.65000E-03,+2.81250000E+00,+2.31874990E+00,+2.11875010E+00
+14.66000E-03,+3.15625000E+00,+2.28749990E+00,+2.24375010E+00
+14.67000E-03,+3.21875000E+00,+2.28749990E+00,+2.43125010E+00
+14.68000E-03,+3.25000000E+00,+2.38124990E+00,+2.58750010E+00
+14.69000E-03,+3.25000000E+00,+2.47499990E+00,+2.80625010E+00
+14.70000E-03,+3.31250000E+00,+2.59999990E+00,+2.96250010E+00
+14.71000E-03,+3.31250000E+00,+2.69374990E+00,+3.08750010E+00
+14.72000E-03,+3.28125000E+00,+2.84999990E+00,+3.24375010E+00
+14.73000E-03,+3.31250000E+00,+3.00624990E+00,+3.36875010E+00
+14.74000E-03,+3.31250000E+00,+3.13124990E+00,+3.46250010E+00
+14.75000E-03,+3.34375000E+00,+3.22499990E+00,+3.55625010E+00
+14.76000E-03,+3.31250000E+00,+3.31874990E+00,+3.58750010E+00
+14.77000E-03,+3.34375000E+00,+3.41249990E+00,+3.65000010E+00
+14.78000E-03,+3.31250000E+00,+3.47499990E+00,+3.61875010E+00
+14.79000E-03,+3.31250000E+00,+3.50624990E+00,+3.65000010E+00
+14.80000E-03,+3.28125000E+00,+3.53749990E+00,+3.58750010E+00
+14.81000E-03,+3.21875000E+00,+3.56874990E+00,+3.52500010E+00
+14.82000E-03,+3.21875000E+00,+3.53749990E+00,+3.46250010E+00
+14.83000E-03,+3.21875000E+00,+3.50624990E+00,+3.43125010E+00
+14.84000E-03,+3.15625000E+00,+3.50624990E+00,+3.36875010E+00
+14.85000E-03,+3.09375000E+00,+3.41249990E+00,+3.30625010E+00
+14.86000E-03,+3.03125000E+00,+3.38124990E+00,+3.21250010E+00
+14.87000E-03,+3.03125000E+00,+3.34999990E+00,+3.15000010E+00
+14.88000E-03,+2.96875000E+00,+3.25624990E+00,+3.08750010E+00
+14.89000E-03,+2.90625000E+00,+3.22499990E+00,+3.02500010E+00
+14.90000E-03,+2.84375000E+00,+3.13124990E+00,+2.93125010E+00
+14.91000E-03,+2.81250000E+00,+3.09999990E+00,+2.86875010E+00
+14.92000E-03,+2.71875000E+00,+3.00624990E+00,+2.77500010E+00
+14.93000E-03,+2.62500000E+00,+2.94374990E+00,+2.71250010E+00
+14.94000E-03,+2.59375000E+00,+2.88124990E+00,+2.68125010E+00
+14.95000E-03,+2.50000000E+00,+2.78749990E+00,+2.58750010E+00
+14.96000E-03,+2.46875000E+00,+2.75624990E+00,+2.52500010E+00
+14.97000E-03,+2.37500000E+00,+2.66249990E+00,+2.43125010E+00
+14.98000E-03,+2.31250000E+00,+2.59999990E+00,+2.40000010E+00
+14.99000E-03,+2.25000000E+00,+2.50624990E+00,+2.27500010E+00
+15.00000E-03,+2.15625000E+00,+2.44374990E+00,+2.24375010E+00
+15.01000E-03,+2.06250000E+00,+2.38124990E+00,+2.15000010E+00
+15.02000E-03,+2.00000000E+00,+2.31874990E+00,+2.05625010E+00
+15.03000E-03,+1.93750000E+00,+2.22499990E+00,+1.99375010E+00
+15.04000E-03,+1.90625000E+00,+2.19374990E+00,+1.90000010E+00
+15.05000E-03,+1.84375000E+00,+2.06874990E+00,+1.83750010E+00
+15.06000E-03,+1.75000000E+00,+2.00624990E+00,+1.77500010E+00
+15.07000E-03,+1.68750000E+00,+1.97499990E+00,+1.74375010E+00
+15.08000E-03,+1.65625000E+00,+1.88124990E+00,+1.68125010E+00
+15.09000E-03,+1.59375000E+00,+1.81874990E+00,+1.61875010E+00
+15.10000E-03,+1.56250000E+00,+1.75624990E+00,+1.58750010E+00
+15.11000E-03,+1.56250000E+00,+1.69374990E+00,+1.55625010E+00
+15.12000E-03,+1.50000000E+00,+1.63124990E+00,+1.46250010E+00
+15.13000E-03,+1.53125000E+00,+1.59999990E+00,+1.46250010E+00
+15.14000E-03,+1.50000000E+00,+1.56874990E+00,+1.46250010E+00
+15.15000E-03,+1.46875000E+00,+1.50624990E+00,+1.43125010E+00
+15.16000E-03,+1.50000000E+00,+1.50624990E+00,+1.40000010E+00
+15.17000E-03,+1.50000000E+00,+1.44374990E+00,+1.43125010E+00
+15.18000E-03,+1.50000000E+00,+1.44374990E+00,+1.40000010E+00
+15.19000E-03,+1.53125000E+00,+1.41249990E+00,+1.43125010E+00
+15.20000E-03,+1.56250000E+00,+1.44374990E+00,+1.43125010E+00
+15.21000E-03,+1.62500000E+00,+1.44374990E+00,+1.46250010E+00
+15.22000E-03,+1.65625000E+00,+1.44374990E+00,+1.52500010E+00
+15.23000E-03,+1.71875000E+00,+1.47499990E+00,+1.58750010E+00
+15.24000E-03,+1.78125000E+00,+1.50624990E+00,+1.61875010E+00
+15.25000E-03,+1.81250000E+00,+1.56874990E+00,+1.68125010E+00
+15.26000E-03,+1.96875000E+00,+1.63124990E+00,+1.71250010E+00
+15.27000E-03,+1.96875000E+00,+1.66249990E+00,+1.77500010E+00
+15.28000E-03,+2.06250000E+00,+1.69374990E+00,+1.90000010E+00
+15.29000E-03,+2.15625000E+00,+1.81874990E+00,+2.02500010E+00
+15.30000E-03,+2.21875000E+00,+1.88124990E+00,+2.08750010E+00
+15.31000E-03,+2.37500000E+00,+1.91249990E+00,+2.18125010E+00
+15.32000E-03,+2.40625000E+00,+2.03749990E+00,+2.27500010E+00
+15.33000E-03,+2.56250000E+00,+2.13124990E+00,+2.40000010E+00
+15.34000E-03,+2.62500000E+00,+2.19374990E+00,+2.49375010E+00
+15.35000E-03,+2.68750000E+00,+2.28749990E+00,+2.58750010E+00
+15.36000E-03,+2.81250000E+00,+2.44374990E+00,+2.71250010E+00
+15.37000E-03,+2.87500000E+00,+2.50624990E+00,+2.80625010E+00
+15.38000E-03,+2.93750000E+00,+2.59999990E+00,+2.90000010E+00
+15.39000E-03,+3.03125000E+00,+2.69374990E+00,+2.99375010E+00
+15.40000E-03,+3.06250000E+00,+2.78749990E+00,+3.08750010E+00
+15.41000E-03,+3.12500000E+00,+2.88124990E+00,+3.11875010E+00
+15.42000E-03,+3.18750000E+00,+2.97499990E+00,+3.21250010E+00
+15.43000E-03,+3.21875000E+00,+3.06874990E+00,+3.30625010E+00
+15.44000E-03,+3.28125000E+00,+3.13124990E+00,+3.33750010E+00
